"","days_trade","days_year","price","total","daily_return"
"1958-05-09",252,365,2.48233808191454,12.3590369652749,0.00238674050811261
"1958-05-10",NA,365,2.47714520020153,12.3345858424275,-0.00197840033297969
"1958-05-11",NA,365,2.4702339325782,12.3015725483639,-0.0026764817631777
"1958-05-12",252,365,2.46319552524172,12.2679184424285,-0.002735756408629
"1958-05-13",252,365,2.45587625554439,12.2328576930456,-0.00285792162276566
"1958-05-14",252,365,2.42772544954163,12.0940257587708,-0.0113491007382239
"1958-05-15",252,365,2.4401118729104,12.1571033669546,0.0052156006148758
"1958-05-16",252,365,2.44123793092334,12.1640938155433,0.000575009389796488
"1958-05-17",NA,365,2.43970132961949,12.1578183117779,-0.000515903926801897
"1958-05-18",NA,365,2.43577745268001,12.1396446615685,-0.00149481179462607
"1958-05-19",252,365,2.43448179761929,12.134565490854,-0.000418395336611255
"1958-05-20",252,365,2.45531333392472,12.2397770043748,0.00867039809543457
"1958-05-21",252,365,2.45193515988589,12.2243263502717,-0.00126233133966525
"1958-05-22",252,365,2.46488450487433,12.2902742294645,0.0053948068223264
"1958-05-23",252,365,2.46995165854577,12.3169351294983,0.00216926811689011
"1958-05-24",NA,365,2.47156081060015,12.3263578641943,0.000765022677872373
"1958-05-25",NA,365,2.47086538555825,12.3242890152298,-0.000167839437021478
"1958-05-26",252,365,2.46882560053283,12.3155140807673,-0.000712003301096886
"1958-05-27",252,365,2.46544764126761,12.3000616324044,-0.00125471403480082
"1958-05-28",252,365,2.46882560053283,12.3183106363202,0.00148365142071505
"1958-05-29",252,365,2.48233808191454,12.3871302531131,0.00558677393554863
"1958-05-30",NA,365,2.48727127189055,12.4131537219813,0.00210084727748794
"1958-05-31",NA,365,2.48853129359893,12.4207990670858,0.000615906745037531
"1958-06-01",NA,365,2.49013878337508,12.4301802234961,0.000755278010664773
"1958-06-02",252,365,2.49472450528331,12.4544299080449,0.00195087151696893
"1958-06-03",252,365,2.50316961821998,12.4979520050972,0.00349450736594625
"1958-06-04",252,365,2.50542173424586,12.5105627447997,0.00100902449436258
"1958-06-05",252,365,2.50823677189142,12.5259869817573,0.00123289713437735
"1958-06-06",252,365,2.51330392556286,12.5526613748322,0.00212952425335811
"1958-06-07",NA,365,2.51434562681872,12.5592363787594,0.000523793618813384
"1958-06-08",NA,365,2.51265720765753,12.552175631663,-0.000562195573318269
"1958-06-09",252,365,2.50936282990436,12.5370904983411,-0.00120179431555079
"1958-06-10",252,365,2.50429567623292,12.5131449042984,-0.00190998015415622
"1958-06-11",252,365,2.50485881262619,12.5173266339842,0.000334186946429504
"1958-06-12",252,365,2.51949713724724,12.5918459184237,0.00595329071602158
"1958-06-13",252,365,2.53469859826157,12.6691957209397,0.00614284855589453
"1958-06-14",NA,365,2.54148522650719,12.7045023372096,0.00278680802219644
"1958-06-15",NA,365,2.54502937031292,12.7236078195696,0.00150383555789091
"1958-06-16",252,365,2.54370684759151,12.7183869349204,-0.000410330522858438
"1958-06-17",252,365,2.5301943662098,12.6522156689637,-0.0052028033346716
"1958-06-18",252,365,2.55271509692145,12.7662135183616,0.00901010956345916
"1958-06-19",252,365,2.51161494593025,12.5620658763798,-0.0159912445211871
"1958-06-20",252,365,2.52512721253835,12.6310219510711,0.00548923046335403
"1958-06-21",NA,365,2.52590817319744,12.6363092279186,0.000418594541915507
"1958-06-22",NA,365,2.52214777802963,12.6188785616423,-0.00137941118422269
"1958-06-23",252,365,2.51611896320841,12.590094511203,-0.00228103078247044
"1958-06-24",252,365,2.50654779225881,12.543578853854,-0.00369462336502635
"1958-06-25",252,365,2.51274100394319,12.5759429442821,0.00258013209827568
"1958-06-26",252,365,2.52456429091869,12.6364917493463,0.00481465328941555
